CDM_ID,CREATED,EMERGENCY_REPORTABLE,TCA,MIN_RNG,PC,SAT_1_ID,SAT_1_NAME,SAT1_OBJECT_TYPE,SAT1_RCS,SAT_1_EXCL_VOL,SAT_2_ID,SAT_2_NAME,SAT2_OBJECT_TYPE,SAT2_RCS,SAT_2_EXCL_VOL
"66262662","2020-12-28 23:05:09.000000","Y","2020-12-31T21:57:05.559000","41","0.0004626985","20670","METEOR 2-19","PAYLOAD","LARGE","5.00","35585","COSMOS 2251 DEB","DEBRIS","SMALL","1.00"
"66262695","2020-12-28 23:05:18.000000","Y","2020-12-30T11:10:44.953000","837","0.000127865","21014","COSMOS 2112","PAYLOAD","LARGE","5.00","42377","NOAA 16 DEB","DEBRIS","SMALL","1.00"
"66263152","2020-12-28 23:05:13.000000","Y","2020-12-31T15:33:20.090000","415","0.0002582369","23464","ASTRID","PAYLOAD","MEDIUM","5.00","38266","YAOGAN 7 DEB","DEBRIS","SMALL","1.00"
"66263170","2020-12-28 23:05:09.000000","Y","2020-12-31T18:22:37.217000","55","0.0001348211","23659","SL-14 R/B","ROCKET BODY","LARGE","3.00","31563","FENGYUN 1C DEB","DEBRIS","SMALL","1.00"
"66263776","2020-12-28 23:05:09.000000","Y","2020-12-29T15:27:08.988000","75","0.003095554","28057","CBERS 2","PAYLOAD","LARGE","5.00","39675","COSMOS 1867 COOLANT","DEBRIS","SMALL","1.00"
"66264137","2020-12-28 23:05:10.000000","Y","2020-12-30T00:29:46.220000","99","0.0002477579","31058","FENGYUN 1C DEB","DEBRIS","SMALL","1.00","85383","UNKNOWN","UNKNOWN","","3.00"
"66264162","2020-12-28 23:05:09.000000","Y","2020-12-31T18:22:37.217000","55","0.0001348211","31563","FENGYUN 1C DEB","DEBRIS","SMALL","1.00","23659","SL-14 R/B","ROCKET BODY","LARGE","3.00"
"66264701","2020-12-28 23:05:09.000000","Y","2020-12-31T21:57:05.559000","41","0.0004626985","35585","COSMOS 2251 DEB","DEBRIS","SMALL","1.00","20670","METEOR 2-19","PAYLOAD","LARGE","5.00"
"66264894","2020-12-28 23:05:09.000000","Y","2020-12-29T14:38:37.731000","66","0.000613915","37457","FENGYUN 1C DEB","DEBRIS","SMALL","1.00","40704","METEOR 2-11 DEB","DEBRIS","SMALL","1.00"
"66265411","2020-12-28 23:05:09.000000","Y","2020-12-29T15:27:08.988000","75","0.003095554","39675","COSMOS 1867 COOLANT","DEBRIS","SMALL","1.00","28057","CBERS 2","PAYLOAD","LARGE","5.00"
"66265671","2020-12-28 23:05:09.000000","Y","2020-12-29T14:38:37.731000","66","0.000613915","40704","METEOR 2-11 DEB","DEBRIS","SMALL","1.00","37457","FENGYUN 1C DEB","DEBRIS","SMALL","1.00"
"66266480","2020-12-28 23:05:09.000000","Y","2020-12-29T18:55:36.168000","79","0.0001043839","42580","DELTA 1 DEB","DEBRIS","SMALL","1.00","11239","SL-8 R/B","ROCKET BODY","LARGE","3.00"
"66327816","2020-12-29 11:06:57.000000","Y","2021-01-01T01:26:05.066000","46","0.0116742","8344","SL-8 R/B","ROCKET BODY","LARGE","3.00","16953","SL-8 R/B","ROCKET BODY","LARGE","3.00"
"66327955","2020-12-29 11:07:04.000000","Y","2020-12-31T01:22:41.081000","115","0.0001460899","13484","COSMOS 1275 DEB","DEBRIS","SMALL","1.00","31725","FENGYUN 1C DEB","DEBRIS","SMALL","1.00"
"66328176","2020-12-29 11:06:55.000000","Y","2021-01-01T01:26:05.066000","46","0.0116742","16953","SL-8 R/B","ROCKET BODY","LARGE","3.00","8344","SL-8 R/B","ROCKET BODY","LARGE","3.00"
"66328420","2020-12-29 11:07:14.000000","Y","2020-12-31T21:57:05.611000","700","0.0003859521","20670","METEOR 2-19","PAYLOAD","LARGE","5.00","35585","COSMOS 2251 DEB","DEBRIS","SMALL","1.00"
"66328447","2020-12-29 11:07:47.000000","Y","2020-12-30T11:10:45.063000","373","0.0002894008","21014","COSMOS 2112","PAYLOAD","LARGE","5.00","42377","NOAA 16 DEB","DEBRIS","SMALL","1.00"
"66328869","2020-12-29 11:07:24.000000","Y","2020-12-31T15:33:20.075000","400","0.0003129872","23464","ASTRID","PAYLOAD","MEDIUM","5.00","38266","YAOGAN 7 DEB","DEBRIS","SMALL","1.00"
"66328892","2020-12-29 11:07:04.000000","Y","2020-12-31T18:22:37.190000","39","0.002019529","23659","SL-14 R/B","ROCKET BODY","LARGE","3.00","31563","FENGYUN 1C DEB","DEBRIS","SMALL","1.00"
"66329456","2020-12-29 10:31:07.000000","Y","2020-12-31T19:47:31.599000","4297","","27662","ARIANE 44LP DEB","DEBRIS","MEDIUM","0.00","43826","ARIANE 5 DEB (SYLDA)","DEBRIS","LARGE","0.00"
"66329555","2020-12-29 11:07:26.000000","Y","2020-12-29T15:27:08.987000","75","0.001155672","28057","CBERS 2","PAYLOAD","LARGE","5.00","39675","COSMOS 1867 COOLANT","DEBRIS","SMALL","1.00"
"66330190","2020-12-29 11:06:58.000000","Y","2020-12-31T18:22:37.190000","39","0.002019529","31563","FENGYUN 1C DEB","DEBRIS","SMALL","1.00","23659","SL-14 R/B","ROCKET BODY","LARGE","3.00"
"66330507","2020-12-29 11:06:57.000000","Y","2020-12-31T01:22:41.081000","115","0.0001460899","31725","FENGYUN 1C DEB","DEBRIS","SMALL","1.00","13484","COSMOS 1275 DEB","DEBRIS","SMALL","1.00"
"66331604","2020-12-29 11:07:30.000000","Y","2020-12-29T14:38:37.731000","66","0.0006236836","37457","FENGYUN 1C DEB","DEBRIS","SMALL","1.00","40704","METEOR 2-11 DEB","DEBRIS","SMALL","1.00"
"66332444","2020-12-29 11:07:00.000000","Y","2020-12-29T15:27:08.987000","75","0.001155672","39675","COSMOS 1867 COOLANT","DEBRIS","SMALL","1.00","28057","CBERS 2","PAYLOAD","LARGE","5.00"
"66332887","2020-12-29 11:07:22.000000","Y","2020-12-29T14:38:37.731000","66","0.0006236836","40704","METEOR 2-11 DEB","DEBRIS","SMALL","1.00","37457","FENGYUN 1C DEB","DEBRIS","SMALL","1.00"
"66341541","2020-12-29 10:30:07.000000","Y","2020-12-31T19:47:31.599000","4297","","43826","ARIANE 5 DEB (SYLDA)","DEBRIS","LARGE","0.00","27662","ARIANE 44LP DEB","DEBRIS","MEDIUM","0.00"
"66388235","2020-12-29 17:37:48.000000","Y","2021-01-01T01:26:05.066000","46","0.008912982","8344","SL-8 R/B","ROCKET BODY","LARGE","3.00","16953","SL-8 R/B","ROCKET BODY","LARGE","3.00"
"66388331","2020-12-29 17:37:43.000000","Y","2021-01-01T01:26:05.066000","46","0.008912982","16953","SL-8 R/B","ROCKET BODY","LARGE","3.00","8344","SL-8 R/B","ROCKET BODY","LARGE","3.00"
"66388440","2020-12-29 17:38:33.000000","Y","2020-12-31T21:57:05.612000","702","0.0003325435","20670","METEOR 2-19","PAYLOAD","LARGE","5.00","35585","COSMOS 2251 DEB","DEBRIS","SMALL","1.00"
"66388444","2020-12-29 17:39:14.000000","Y","2020-12-30T11:10:45.076000","306","0.0003393866","21014","COSMOS 2112","PAYLOAD","LARGE","5.00","42377","NOAA 16 DEB","DEBRIS","SMALL","1.00"
"66388486","2020-12-29 17:38:48.000000","Y","2020-12-31T15:33:20.087000","323","0.0009575433","23464","ASTRID","PAYLOAD","MEDIUM","5.00","38266","YAOGAN 7 DEB","DEBRIS","SMALL","1.00"
"66388498","2020-12-29 17:38:07.000000","Y","2020-12-31T18:22:37.186000","34","0.004293285","23659","SL-14 R/B","ROCKET BODY","LARGE","3.00","31563","FENGYUN 1C DEB","DEBRIS","SMALL","1.00"
"66388786","2020-12-29 17:37:51.000000","Y","2020-12-31T18:22:37.186000","34","0.004293285","31563","FENGYUN 1C DEB","DEBRIS","SMALL","1.00","23659","SL-14 R/B","ROCKET BODY","LARGE","3.00"
"66444975","2020-12-30 00:03:26.000000","Y","2021-01-01T01:26:05.071000","36","0.02673542","8344","SL-8 R/B","ROCKET BODY","LARGE","3.00","16953","SL-8 R/B","ROCKET BODY","LARGE","3.00"
