CDM_ID,CREATED,EMERGENCY_REPORTABLE,TCA,MIN_RNG,PC,SAT_1_ID,SAT_1_NAME,SAT1_OBJECT_TYPE,SAT1_RCS,SAT_1_EXCL_VOL,SAT_2_ID,SAT_2_NAME,SAT2_OBJECT_TYPE,SAT2_RCS,SAT_2_EXCL_VOL
"163789120","2021-11-09 00:33:39.000000","Y","2021-11-11T00:55:26.843000","791","0.001209353","30276","FENGYUN 1C DEB","DEBRIS","SMALL","5.00","32459","FENGYUN 1C DEB","DEBRIS","SMALL","5.00"
"163789285","2021-11-09 00:33:41.000000","Y","2021-11-11T15:11:31.308000","597","0.0001050978","30345","FENGYUN 1C DEB","DEBRIS","SMALL","5.00","41668","NOAA 16 DEB","DEBRIS","SMALL","5.00"
"163789413","2021-11-09 00:33:42.000000","Y","2021-11-10T00:50:14.467000","92","0.00831923","30400","FENGYUN 1C DEB","DEBRIS","SMALL","5.00","36190","FENGYUN 1C DEB","DEBRIS","SMALL","5.00"
"163789728","2021-11-09 00:33:46.000000","Y","2021-11-11T23:17:58.768000","494","0.0005594211","30528","FENGYUN 1C DEB","DEBRIS","SMALL","5.00","40469","DMSP 5D-2 F13 DEB","DEBRIS","SMALL","5.00"
"163789729","2021-11-09 00:33:46.000000","Y","2021-11-11T20:39:17.277000","114","0.002023293","30529","FENGYUN 1C DEB","DEBRIS","SMALL","5.00","21492","DELTA 1 DEB","DEBRIS","SMALL","5.00"
"163789764","2021-11-09 00:33:46.000000","Y","2021-11-11T08:14:58.682000","94","0.001906784","30543","FENGYUN 1C DEB","DEBRIS","SMALL","5.00","41669","NOAA 16 DEB","DEBRIS","SMALL","5.00"
"163789812","2021-11-09 00:33:47.000000","Y","2021-11-10T18:30:41.199000","208","0.0002939188","30558","FENGYUN 1C DEB","DEBRIS","SMALL","5.00","38271","METEOR 2-5 DEB","DEBRIS","SMALL","5.00"
"163789989","2021-11-09 00:33:50.000000","Y","2021-11-09T00:21:43.967000","196","0.0002379017","30631","FENGYUN 1C DEB","DEBRIS","SMALL","5.00","40998","IRIDIUM 33 DEB","DEBRIS","SMALL","5.00"
"163790549","2021-11-09 00:33:56.000000","Y","2021-11-10T21:40:20.120000","215","0.0005166259","30844","FENGYUN 1C DEB","DEBRIS","SMALL","5.00","29904","FENGYUN 1C DEB","DEBRIS","SMALL","5.00"
"163790856","2021-11-09 00:34:01.000000","Y","2021-11-09T02:41:37.841000","234","0.002240111","30972","FENGYUN 1C DEB","DEBRIS","SMALL","5.00","31486","FENGYUN 1C DEB","DEBRIS","SMALL","5.00"
"163790887","2021-11-09 00:34:01.000000","Y","2021-11-11T08:17:34.354000","313","0.0002223068","30984","FENGYUN 1C DEB","DEBRIS","SMALL","5.00","46437","IRIDIUM 33 DEB","DEBRIS","SMALL","5.00"
"163791017","2021-11-09 00:34:03.000000","Y","2021-11-09T13:19:53.656000","202","0.002012427","31033","FENGYUN 1C DEB","DEBRIS","SMALL","5.00","37591","FENGYUN 1C DEB","DEBRIS","","5.00"
"163791201","2021-11-09 00:34:05.000000","Y","2021-11-10T04:15:19.727000","459","0.0002005655","31080","FENGYUN 1C DEB","DEBRIS","SMALL","5.00","35192","FENGYUN 1C DEB","DEBRIS","SMALL","5.00"
"163791793","2021-11-09 00:34:11.000000","Y","2021-11-10T07:17:13.403000","117","0.001280642","31263","FENGYUN 1C DEB","DEBRIS","SMALL","5.00","38546","NOAA 12 DEB","DEBRIS","SMALL","5.00"
"163791796","2021-11-09 00:34:11.000000","Y","2021-11-09T20:01:31.550000","258","0.000327826","31265","FENGYUN 1C DEB","DEBRIS","SMALL","5.00","21576","ORBCOMM-X","PAYLOAD","MEDIUM","5.00"
"163792004","2021-11-09 00:34:14.000000","Y","2021-11-11T20:07:37.419000","241","0.002115765","31314","FENGYUN 1C DEB","DEBRIS","SMALL","5.00","34019","COSMOS 2251 DEB","DEBRIS","SMALL","5.00"
"163792233","2021-11-09 00:34:17.000000","Y","2021-11-10T03:02:44.704000","460","0.000665587","31368","FENGYUN 1C DEB","DEBRIS","SMALL","5.00","42250","SL-16 DEB","DEBRIS","SMALL","5.00"
"163792243","2021-11-09 00:34:17.000000","Y","2021-11-10T21:27:12.709000","475","0.0002117588","31374","FENGYUN 1C DEB","DEBRIS","SMALL","5.00","41531","NOAA 16 DEB","DEBRIS","SMALL","5.00"
"163792403","2021-11-09 00:34:19.000000","Y","2021-11-11T19:08:33.251000","137","0.000410123","31415","FENGYUN 1C DEB","DEBRIS","SMALL","5.00","42310","DMSP 5D-2 F13 DEB","DEBRIS","SMALL","5.00"
"163792448","2021-11-09 00:34:19.000000","Y","2021-11-11T05:58:11.741000","425","0.0009870142","31427","FENGYUN 1C DEB","DEBRIS","SMALL","5.00","18477","COSMOS 1375 DEB","DEBRIS","SMALL","5.00"
"163792545","2021-11-09 00:34:20.000000","Y","2021-11-10T01:14:32.156000","214","0.0003960274","31455","FENGYUN 1C DEB","DEBRIS","SMALL","5.00","36865","METEOR 2-8 DEB","DEBRIS","SMALL","5.00"
